,Release Group,Worldwide,Domestic,Foreign,Year
5988,The Girl with the Dragon Tattoo,"$232,617,430","$102,515,793","$130,101,637",2011
5989,The Green Hornet,"$227,817,248","$98,780,042","$129,037,206",2011
5990,Immortals,"$226,904,017","$83,504,017","$143,400,000",2011
5991,Green Lantern,"$219,851,172","$116,601,172","$103,250,000",2011
5992,The Help,"$216,639,112","$169,708,112","$46,931,000",2011
5993,Bad Teacher,"$216,197,492","$100,292,856","$115,904,636",2011
5994,Just Go with It,"$214,945,591","$103,028,109","$111,917,482",2011
5995,Battle Los Angeles,"$211,819,354","$83,552,429","$128,266,925",2011
5996,Horrible Bosses,"$209,838,559","$117,538,559","$92,300,000",2011
5997,Paranormal Activity 3,"$207,039,844","$104,028,807","$103,011,037",2011
5998,Gnomeo & Juliet,"$193,967,670","$99,967,670","$94,000,000",2011
5999,Mr. Popper's Penguins,"$187,361,754","$68,224,452","$119,137,302",2011
6000,Hugo,"$185,770,160","$73,864,507","$111,905,653",2011
6001,The Lion King 2011 3D Release,"$185,542,001","$94,242,001","$91,300,000",2011
6002,Hop,"$183,953,723","$108,085,305","$75,868,418",2011
6003,War Horse,"$177,584,879","$79,884,879","$97,700,000",2011
6004,The Descendants,"$177,243,185","$82,584,160","$94,659,025",2011
6005,Cowboys & Aliens,"$174,822,325","$100,240,551","$74,581,774",2011
6006,In Time,"$173,930,596","$37,520,095","$136,410,501",2011
6007,Zookeeper,"$169,852,759","$80,360,843","$89,491,916",2011
6008,The Muppets,"$165,184,237","$88,631,237","$76,553,000",2011
6009,Limitless,"$161,849,455","$79,249,455","$82,600,000",2011
6010,Johnny English Reborn,"$160,078,586","$8,305,970","$151,772,616",2011
6011,Happy Feet Two,"$159,196,259","$64,006,466","$95,189,793",2011
6012,Final Destination 5,"$157,887,643","$42,587,643","$115,300,000",2011
6013,Midnight in Paris,"$153,959,590","$56,817,045","$97,142,545",2011
6014,Tower Heist,"$152,930,623","$78,046,570","$74,884,053",2011
6015,I Am Number Four,"$149,878,437","$55,100,437","$94,778,000",2011
6016,Jack and Jill,"$149,673,788","$74,158,157","$75,515,631",2011
6017,Friends with Benefits,"$149,542,245","$55,802,754","$93,739,491",2011
6018,No Strings Attached,"$149,228,077","$70,662,220","$78,565,857",2011
6019,Arthur Christmas,"$147,419,472","$46,462,469","$100,957,003",2011
6020,Source Code,"$147,332,697","$54,712,227","$92,620,470",2011
6021,"Crazy, Stupid, Love.","$145,051,197","$84,351,197","$60,700,000",2011
6022,New Year's Eve,"$142,044,638","$54,544,638","$87,500,000",2011
6023,Contagion,"$136,515,867","$75,658,097","$60,857,770",2011
6024,Unknown,"$135,710,029","$63,686,397","$72,023,632",2011
6025,The Artist,"$133,432,856","$44,671,682","$88,761,174",2011
6026,The Three Musketeers,"$132,274,484","$20,374,484","$111,900,000",2011
6027,We Bought a Zoo,"$120,081,841","$75,624,550","$44,457,291",2011
6028,Water for Elephants,"$117,094,902","$58,709,717","$58,385,185",2011
6029,The Iron Lady,"$115,890,699","$30,017,992","$85,872,707",2011
6030,Moneyball,"$110,206,216","$75,605,492","$34,600,724",2011
6031,Insidious,"$99,557,032","$54,009,150","$45,547,882",2011
6032,Justin Bieber: Never Say Never,"$99,036,827","$73,013,910","$26,022,917",2011
6033,Paul,"$97,984,015","$37,412,945","$60,571,070",2011
6034,Scream 4,"$97,138,686","$38,180,928","$58,957,758",2011
6035,The Rite,"$96,560,591","$33,047,633","$63,512,958",2011
6036,Dolphin Tale,"$95,932,565","$72,286,779","$23,645,786",2011
6037,Nothing to Declare,"$93,811,164",-,"$93,811,164",2011
6038,Season of the Witch,"$91,627,228","$24,827,228","$66,800,000",2011
6039,Red Riding Hood,"$90,260,376","$37,662,162","$52,598,214",2011
6040,Sucker Punch,"$89,792,502","$36,392,502","$53,400,000",2011
6041,The Inbetweeners,"$88,823,111","$36,000","$88,787,111",2011
6042,The Lincoln Lawyer,"$86,752,352","$58,009,200","$28,743,152",2011
6043,Hall Pass,"$86,157,237","$45,060,734","$41,096,503",2011
6044,Spy Kids 4-D: All the Time in the World,"$85,564,310","$38,538,188","$47,026,122",2011
6045,J. Edgar,"$84,920,539","$37,306,030","$47,614,509",2011
6046,"Big Mommas: Like Father, Like Son","$82,686,066","$37,915,414","$44,770,652",2011
6047,Abduction,"$82,087,155","$28,087,155","$54,000,000",2011
6048,Tinker Tailor Soldier Spy,"$81,244,605","$24,149,393","$57,095,212",2011
6049,Priest,"$78,309,505","$29,137,000","$49,172,505",2011
6050,Drive,"$76,976,666","$35,061,555","$41,915,111",2011
6051,The Ides of March,"$76,338,111","$40,962,534","$35,375,577",2011
6052,The Mechanic,"$76,130,093","$29,121,498","$47,008,595",2011
6053,The Change-Up,"$75,450,437","$37,081,475","$38,368,962",2011
6054,Larry Crowne,"$75,055,070","$35,608,245","$39,446,825",2011
6055,Diary of a Wimpy Kid: Rodrick Rules,"$72,526,996","$52,698,535","$19,828,461",2011
6056,The Dilemma,"$69,721,966","$48,475,290","$21,246,676",2011
6057,Something Borrowed,"$65,100,369","$39,046,489","$26,053,880",2011
6058,The Darkest Hour,"$64,626,786","$21,443,494","$43,183,292",2011
6059,Hanna,"$63,782,078","$40,259,119","$23,522,959",2011
6060,Footloose 2011 Re-release,"$63,543,328","$51,802,742","$11,740,586",2011
6061,Conan the Barbarian,"$63,523,283","$21,295,021","$42,228,262",2011
6062,Colombiana,"$63,458,440","$36,665,854","$26,792,586",2011
6063,From Up on Poppy Hill,"$61,459,425","$1,002,895","$60,456,530",2011
6064,One Day,"$59,389,433","$13,843,771","$45,545,662",2011
6065,The Tree of Life,"$58,409,247","$13,303,319","$45,105,928",2011
6066,Beginning of the Great Revival,"$58,309,289","$151,000","$58,158,289",2011
6067,Killer Elite,"$57,084,522","$25,124,966","$31,959,556",2011
6068,Silent Hill: Revelation,"$55,362,705","$17,529,157","$37,833,548",2011
6069,Extremely Loud & Incredibly Close,"$55,247,881","$31,847,881","$23,400,000",2011
6070,Tyler Perry's Madea's Big Happy Family,"$54,161,287","$53,345,287","$816,000",2011
6071,War of the Arrows,"$50,587,661","$251,200","$50,336,461",2011
6072,Winnie the Pooh,"$49,871,429","$26,692,846","$23,178,583",2011
6073,Arthur,"$48,147,945","$33,035,397","$15,112,548",2011
6074,Soul Surfer,"$47,120,948","$43,853,424","$3,267,524",2011
6075,The Debt,"$45,636,368","$31,177,548","$14,458,820",2011
6076,Beastly,"$43,202,283","$27,865,571","$15,336,712",2011
6077,Xin Shao Lin si,"$42,741,494","$66,099","$42,675,395",2011
6078,Born to Be Wild,"$41,644,475","$25,978,556","$15,665,919",2011
6079,Shark Night,"$41,363,927","$18,877,153","$22,486,774",2011
6080,50/50,"$41,097,853","$35,014,192","$6,083,661",2011
6081,Fright Night,"$41,002,607","$18,302,607","$22,700,000",2011
6082,Drive Angry,"$40,909,909","$10,721,033","$30,188,876",2011
6083,30 Minutes or Less,"$40,662,632","$37,053,924","$3,608,708",2011
6084,The Roommate,"$40,492,652","$37,300,000","$3,192,652",2011
6085,Dream House,"$39,984,400","$21,302,340","$18,682,060",2011
6086,Monte Carlo,"$39,782,683","$23,186,769","$16,595,914",2011
6087,Mars Needs Moms,"$39,233,678","$21,392,758","$17,840,920",2011
6088,Don't Be Afraid of the Dark,"$38,269,529","$24,046,682","$14,222,847",2011
6089,Jumping the Broom,"$38,158,601","$37,295,394","$863,207",2011
6090,One for the Money,"$38,080,789","$26,414,527","$11,666,262",2011
6091,The Eagle,"$37,989,684","$19,490,041","$18,499,643",2011
6092,A Very Harold & Kumar Christmas,"$36,192,775","$35,061,031","$1,131,744",2011
6093,Ra.One,"$35,911,689","$2,511,689","$33,400,000",2011
6094,Courageous,"$35,185,884","$34,522,221","$663,663",2011
6095,My Week with Marilyn,"$35,057,696","$14,600,347","$20,457,349",2011
6096,The Sitter,"$34,942,188","$30,441,326","$4,500,862",2011
6097,Jane Eyre,"$34,710,627","$11,242,660","$23,467,967",2011
6098,The Skin I Live In,"$33,678,406","$3,185,812","$30,492,594",2011
6099,Bodyguard,"$31,516,209","$1,834,384","$29,681,825",2011
6100,The Thing,"$31,505,287","$16,928,670","$14,576,617",2011
6101,I Don't Know How She Does It,"$31,410,151","$9,662,284","$21,747,867",2011
6102,African Cats,"$30,857,747","$15,428,747","$15,429,000",2011
6103,Carnage,"$30,722,632","$2,547,047","$28,175,585",2011
6104,A Dangerous Method,"$30,519,436","$5,704,709","$24,814,727",2011
6105,What's Your Number?,"$30,426,096","$14,011,084","$16,415,012",2011
6106,The Rum Diary,"$30,134,958","$13,109,815","$17,025,143",2011
6107,Your Highness,"$28,013,733","$21,596,445","$6,417,288",2011
6108,The Women on the 6th Floor,"$27,533,970","$719,823","$26,814,147",2011
6109,Apollo 18,"$26,236,153","$17,687,709","$8,548,444",2011
6110,Our Idiot Brother,"$25,804,448","$24,816,118","$988,330",2011
6111,Ready,"$24,663,361","$955,148","$23,708,213",2011
6112,Warrior,"$23,308,615","$13,657,115","$9,651,500",2011
6113,Hoodwinked Too! Hood vs. Evil,"$23,167,844","$10,143,779","$13,024,065",2011
6114,Young Adult,"$22,939,027","$16,311,571","$6,627,456",2011
6115,A Separation,"$22,926,076","$7,099,055","$15,827,021",2011
6116,The Front Line,"$20,629,645","$11,018","$20,618,627",2011
6117,Polisse,"$20,590,872","$211,440","$20,379,432",2011
6118,The Guard,"$19,561,904","$5,360,274","$14,201,630",2011
6119,Margin Call,"$19,504,039","$5,354,039","$14,150,000",2011
6120,Shame,"$19,123,767","$3,909,002","$15,214,765",2011
6121,Jo Nesbø's Headhunters,"$18,962,444","$1,200,010","$17,762,434",2011
6122,Pina,"$18,705,853","$3,524,826","$15,181,027",2011
6123,Glee: The 3D Concert Movie,"$18,663,238","$11,862,398","$6,800,840",2011
6124,We Have a Pope,"$17,877,523","$548,115","$17,329,408",2011
6125,Melancholia,"$17,039,814","$3,030,848","$14,008,966",2011
6126,Delhi Belly,"$16,706,074","$1,532,594","$15,173,480",2011
6127,Mai wei,"$16,653,488","$70,177","$16,583,311",2011
6128,Judy Moody and the Not Bummer Summer,"$15,691,640","$15,013,650","$677,990",2011
6129,The Conspirator,"$15,623,183","$11,538,204","$4,084,979",2011
6130,Anonymous,"$15,395,087","$4,463,292","$10,931,795",2011
6131,War of the Buttons,"$15,082,409","$47,771","$15,034,638",2011
6132,Beginners,"$14,311,701","$5,790,894","$8,520,807",2011
6133,Seeking Justice,"$14,089,528","$411,746","$13,677,782",2011
6134,The Well Digger's Daughter,"$13,194,167","$386,368","$12,807,799",2011
6135,Le Havre,"$12,959,706","$611,709","$12,347,997",2011
6136,Barney's Version,"$12,104,765","$4,439,201","$7,665,564",2011
6137,Mere Brother Ki Dulhan,"$11,983,381","$496,172","$11,487,209",2011
6138,This Must Be the Place,"$11,928,909","$143,979","$11,784,930",2011
6139,The Warring States,"$11,868,961","$68,961","$11,800,000",2011
6140,Wo zhi nv ren xin,"$11,838,177","$123,526","$11,714,651",2011
6141,Win Win,"$11,789,613","$10,179,275","$1,610,338",2011
6142,Delicacy,"$11,597,420","$498,584","$11,098,836",2011
6143,Double Dhamaal,"$11,445,869","$543,646","$10,902,223",2011
6144,Snow Flower and the Secret Fan,"$11,348,205","$1,348,205","$10,000,000",2011
6145,Flying Monsters 3D with David Attenborough,"$10,813,862","$5,705,874","$5,107,988",2011
6146,Prom,"$10,702,246","$10,130,219","$572,027",2011
6147,3-D Sex and Zen: Extreme Ecstasy,"$10,306,807","$153,215","$10,153,592",2011
6148,Trespass,"$10,117,966","$24,094","$10,093,872",2011
6149,Hysteria,"$9,584,256","$1,804,139","$7,780,117",2011
6150,Saving Private Perez,"$9,330,465","$1,400,726","$7,929,739",2011
6151,We Need to Talk About Kevin,"$9,232,318","$1,738,692","$7,493,626",2011
6152,My Piece of the Pie,"$9,123,187","$6,850","$9,116,337",2011
6153,Murder 2,"$9,078,349","$59,000","$9,019,349",2011
6154,Reservation,"$8,726,551","$651,096","$8,075,455",2011
6155,My Worst Nightmare,"$8,226,544","$21,952","$8,204,592",2011
6156,Cave of Forgotten Dreams,"$8,183,347","$5,304,920","$2,878,427",2011
6157,The Big Year,"$8,179,416","$7,204,138","$975,278",2011
6158,The Company Men,"$8,087,000","$4,441,272","$3,645,728",2011
6159,The Lady,"$7,832,142","$355,391","$7,476,751",2011
6160,Cedar Rapids,"$7,728,936","$6,861,102","$867,834",2011
6161,Kevin Hart: Laugh at My Pain,"$7,706,436","$7,706,436",-,2011
6162,Declaration of War,"$7,691,610","$59,100","$7,632,510",2011
6163,Fullmetal Alchemist: The Sacred Star of Milos,"$7,621,364","$177,802","$7,443,562",2011
6164,Take Me Home Tonight,"$7,550,073","$6,928,068","$622,005",2011
6165,Albert Nobbs,"$7,532,259","$3,014,696","$4,517,563",2011
6166,Where Do We Go Now?,"$7,507,008","$531,997","$6,975,011",2011
6167,Even the Rain,"$7,313,485","$518,017","$6,795,468",2011
6168,The Beaver,"$7,294,800","$970,816","$6,323,984",2011
6169,Incendies,"$7,099,598","$2,071,334","$5,028,264",2011
6170,The Kid with a Bike,"$7,011,798","$1,470,000","$5,541,798",2011
6171,11-11-11,"$6,963,872","$32,771","$6,931,101",2011
6172,Don 2,"$6,913,518","$3,680,306","$3,233,212",2011
6173,The Awakening,"$6,879,667","$209,696","$6,669,971",2011
6174,A Little Bit of Heaven,"$6,778,388","$15,375","$6,763,013",2011
6175,The Conquest,"$6,637,166","$74,474","$6,562,692",2011
6176,Attack the Block,"$6,206,022","$1,024,175","$5,181,847",2011
6177,Dylan Dog: Dead of Night,"$5,782,515","$1,186,538","$4,595,977",2011
6178,The Devil's Double,"$5,728,213","$1,361,512","$4,366,701",2011
6179,Chalet Girl,"$5,468,650","$1,710","$5,466,940",2011
6180,Thank You,"$5,452,347","$463,540","$4,988,807",2011
6181,Hara-Kiri: Death of a Samurai,"$5,435,358","$75,688","$5,359,670",2011
6182,Intruders,"$5,348,049","$69,136","$5,278,913",2011
6183,Force,"$5,310,437",-,"$5,310,437",2011
6184,Zindagi Na Milegi Dobara,"$5,192,743","$3,108,485","$2,084,258",2011
6185,Oranges and Sunshine,"$5,017,653","$143,480","$4,874,173",2011
6186,Martha Marcy May Marlene,"$4,778,439","$2,990,625","$1,787,814",2011
6187,The Double,"$4,729,855","$137,921","$4,591,934",2011
6188,Warriors of the Rainbow: Seediq Bale I,"$4,670,432","$136,166","$4,534,266",2011
6189,Atlas Shrugged: Part I,"$4,627,375","$4,627,375",-,2011
6190,Simon and the Oaks,"$4,505,573","$150,664","$4,354,909",2011
6191,Rundskop,"$4,483,147","$151,840","$4,331,307",2011
6192,Flypaper,"$4,453,634","$5,043","$4,448,591",2011
6193,Buck,"$4,448,728","$4,038,912","$409,816",2011
6194,Seven Days in Utopia,"$4,373,074","$4,373,074",-,2011
6195,There Be Dragons,"$4,372,642","$1,069,334","$3,303,308",2011
6196,The Rabbi's Cat,"$4,208,573","$23,392","$4,185,181",2011
6197,From Prada to Nada,"$4,058,694","$3,033,623","$1,025,071",2011
6198,Seven Sins Forgiven,"$3,924,850","$270,207","$3,654,643",2011
6199,Submarine,"$3,875,173","$467,602","$3,407,571",2011
6200,The Trip,"$3,741,198","$2,030,962","$1,710,236",2011
6201,Take Shelter,"$3,741,098","$1,730,296","$2,010,802",2011
6202,Like Crazy,"$3,731,489","$3,395,391","$336,098",2011
6203,1911,"$3,680,151","$135,739","$3,544,412",2011
6204,Special Forces,"$3,424,648","$10,759","$3,413,889",2011
6205,The King's Speech PG-13 Version,"$3,375,215","$3,344,306","$30,909",2011
6206,Machine Gun Preacher,"$3,338,690","$538,690","$2,800,000",2011
6207,Flying Swords of Dragon Gate,"$3,323,381","$170,276","$3,153,105",2011
6208,Chicken with Plums,"$3,265,941","$253,874","$3,012,067",2011
6209,Pastorela,"$3,179,022","$161,194","$3,017,828",2011
6210,The Deep Blue Sea,"$3,115,609","$1,126,525","$1,989,084",2011
6211,Mumbai Diaries,"$3,082,958","$576,639","$2,506,319",2011
6212,The Greatest Miracle,"$3,019,382","$555,166","$2,464,216",2011
6213,Brighton Rock,"$2,913,599","$229,653","$2,683,946",2011
6214,Starbuck,"$2,865,068","$340,058","$2,525,010",2011
6215,The Salt of Life,"$2,850,852","$317,405","$2,533,447",2011
6216,Everything Must Go,"$2,820,490","$2,711,643","$108,847",2011
6217,The Cup,"$2,660,645",-,"$2,660,645",2011
6218,Bucky Larson: Born to Be a Star,"$2,530,394","$2,529,395",$999,2011
6219,Restless,"$2,518,012","$163,265","$2,354,747",2011
6220,Footnote,"$2,451,259","$2,007,758","$443,501",2011
6221,The Grace Card,"$2,430,735","$2,430,735",-,2011
6222,I Wish,"$2,371,548","$145,808","$2,225,740",2011
6223,Desi Boyz,"$2,355,293","$1,078,826","$1,276,467",2011
6224,Terraferma,"$2,343,302","$19,996","$2,323,306",2011
6225,Elena,"$2,227,905","$233,380","$1,994,525",2011
6226,Bill Cunningham: New York,"$2,210,382","$1,510,026","$700,356",2011
6227,Henry's Crime,"$2,169,799","$102,541","$2,067,258",2011
6228,The Eye of the Storm,"$2,104,689","$83,566","$2,021,123",2011
6229,Once Upon a Time in Anatolia,"$2,099,472","$152,408","$1,947,064",2011
6230,"The Butcher, the Chef, and the Swordsman","$2,089,266","$47,896","$2,041,370",2011
6231,Beloved,"$1,971,858","$137,515","$1,834,343",2011
6232,Another Earth,"$1,938,783","$1,321,194","$617,589",2011
6233,The Art of Getting By,"$1,892,130","$1,430,241","$461,889",2011
6234,The Mighty Macs,"$1,891,936","$1,891,936",-,2011
6235,Red Lips,"$1,889,869","$136,163","$1,753,706",2011
6236,Red State,"$1,874,460","$1,104,682","$769,778",2011
6237,The Whistleblower,"$1,870,392","$1,124,966","$745,426",2011
6238,A Better Life,"$1,863,506","$1,759,252","$104,254",2011
6239,The Monk,"$1,809,527","$13,472","$1,796,055",2011
6240,Game,"$1,764,828","$139,528","$1,625,300",2011
6241,Tales of the Night,"$1,762,194","$10,975","$1,751,219",2011
6242,"Turn Me On, Dammit!","$1,743,743","$126,085","$1,617,658",2011
6243,Wuthering Heights,"$1,742,215","$100,915","$1,641,300",2011
6244,The Hunter,"$1,680,778","$176,669","$1,504,109",2011
6245,Vanishing on 7th Street,"$1,671,196","$22,729","$1,648,467",2011
6246,Rockstar,"$1,651,601","$986,697","$664,904",2011
6247,Crazy Mad Lover,"$1,597,269","$993,031","$604,238",2011
6248,I Am,"$1,591,034","$1,591,034",-,2011
6249,Take a Shot,"$1,508,912","$564,489","$944,423",2011
6250,Mausam,"$1,473,341","$728,316","$745,025",2011
6251,Violeta Went to Heaven,"$1,466,032","$21,496","$1,444,536",2011
6252,Tomboy,"$1,437,501","$129,834","$1,307,667",2011
6253,Black Butterflies,"$1,416,573",-,"$1,416,573",2011
6254,"Oslo, August 31st","$1,386,378","$101,475","$1,284,903",2011
6255,House of Tolerance,"$1,384,443","$19,327","$1,365,116",2011
6256,A Good Old Fashioned Orgy,"$1,369,485","$200,227","$1,169,258",2011
6257,The Oscar Nominated Short Films 2011: Live Action,"$1,352,152","$1,352,152",-,2011
6258,Unforgivable,"$1,351,146","$154,189","$1,196,957",2011
6259,The Snowtown Murders,"$1,349,387","$8,452","$1,340,935",2011
6260,Texas Killing Fields,"$1,271,319","$45,469","$1,225,850",2011
6261,The Ledge,"$1,247,188","$9,216","$1,237,972",2011
6262,Casablanca 2011 Re-release,"$1,226,808","$1,155,330","$71,478",2011
6263,Meek's Cutoff,"$1,205,257","$977,772","$227,485",2011
6264,In the Land of Blood and Honey,"$1,203,699","$303,877","$899,822",2011
6265,"Beats, Rhymes & Life: The Travels of A Tribe Called Quest","$1,200,326","$1,200,326",-,2011
6266,The First Grader,"$1,194,710","$332,000","$862,710",2011
6267,Free Men,"$1,192,651","$53,810","$1,138,841",2011
6268,Kill the Irishman,"$1,188,194","$1,188,194",-,2011
6269,Weekend,"$1,128,477","$484,592","$643,885",2011
6270,The Mill and the Cross,"$1,116,180","$312,187","$803,993",2011
6271,The Heart Specialist,"$1,103,037","$1,103,037",-,2011
6272,The Son of No One,"$1,091,132","$30,680","$1,060,452",2011
6273,Page One: Inside the New York Times,"$1,077,982","$1,067,028","$10,954",2011
6274,Sidewalls,"$1,008,116","$2,377","$1,005,739",2011
6275,Blackthorn,"$987,883","$200,558","$787,325",2011
6276,The Road,"$942,041","$92,476","$849,565",2011
6277,Perfect Sense,"$933,352","$2,959","$930,393",2011
6278,Sholem Aleichem: Laughing in the Darkness,"$906,666","$906,666",-,2011
6279,The Future,"$887,172","$568,662","$318,510",2011
6280,Always Kabhi Kabhi,"$884,624","$21,381","$863,243",2011
6281,Happythankyoumoreplease,"$853,862","$216,110","$637,752",2011
6282,Higher Ground 2011 Re-release,"$843,370","$841,733","$1,637",2011
6283,Children's Party,"$832,150","$6,330","$825,820",2011
6284,The Lord of the Rings: The Return of the King 2011 Re-release,"$818,580","$818,580",-,2011
6285,Breathing,"$807,436","$4,630","$802,806",2011
6286,Pariah,"$769,552","$769,552",-,2011
6287,The Lord of the Rings: The Fellowship of the Ring 2011 Re-release,"$768,580","$768,580",-,2011
6288,The Lord of the Rings: The Two Towers 2011 Re-release,"$764,607","$764,607",-,2011
6289,Hobo with a Shotgun,"$748,453","$703,372","$45,081",2011
6290,Forks Over Knives,"$739,561","$739,561",-,2011
6291,Tabloid,"$731,925","$696,921","$35,004",2011
6292,Singham,"$722,451","$350,864","$371,587",2011
6293,Gerhard Richter Painting,"$713,188","$242,646","$470,542",2011
6294,The Polar Express 2011 IMAX Release,"$711,168","$711,168",-,2011
6295,The Greatest Movie Ever Sold,"$698,249","$638,476","$59,773",2011
6296,Tyrannosaur,"$676,111","$22,321","$653,790",2011
6297,Another Happy Day,"$659,937","$8,464","$651,473",2011
6298,The Woman in the Fifth,"$659,769","$113,800","$545,969",2011
6299,Terri,"$655,802","$655,802",-,2011
6300,Rascals,"$652,756","$273,829","$378,927",2011
6301,The Last Lions,"$635,325","$635,325",-,2011
6302,A Beautiful Life,"$634,784","$66,171","$568,613",2011
6303,No One Killed Jessica,"$634,297","$440,525","$193,772",2011
6304,Sleepless Night,"$624,913","$3,358","$621,555",2011
6305,Project Nim,"$609,880","$411,184","$198,696",2011
6306,Life in a Day,"$607,169","$252,788","$354,381",2011
6307,Trust,"$595,802","$120,016","$475,786",2011
6308,Starry Starry Night,"$589,299","$10,033","$579,266",2011
6309,Margaret,"$564,864","$46,495","$518,369",2011
6310,Circumstance,"$555,511","$454,121","$101,390",2011
6311,Creature,"$533,235","$508,714","$24,521",2011
6312,"Love, Wedding, Marriage","$515,823","$1,926","$513,897",2011
6313,Goodbye First Love,"$514,913","$95,000","$419,913",2011
6314,Bol,"$509,872","$188,850","$321,022",2011
6315,Bride Flight 2011 Re-release,"$501,360","$501,360",-,2011
6316,Pearl Jam Twenty,"$471,334","$471,334",-,2011
6317,The Perfect Host,"$450,885","$48,764","$402,121",2011
6318,Kill List,"$450,275","$29,063","$421,212",2011
6319,Hesher,"$449,702","$382,946","$66,756",2011
6320,17 Girls,"$449,626","$15,123","$434,503",2011
6321,The Sleeping Beauty,"$446,131","$29,066","$417,065",2011
6322,My Kingdom,"$435,759","$36,533","$399,226",2011
6323,Super,"$422,618","$327,716","$94,902",2011
6324,Sleeping Beauty,"$408,680","$36,578","$372,102",2011
6325,The 5th Quarter,"$408,159","$408,159",-,2011
6326,Stake Land,"$405,380","$33,245","$372,135",2011
6327,Happy Magic,"$405,268","$10,697","$394,571",2011
6328,Into the Abyss,"$393,714","$223,880","$169,834",2011
6329,Mooz-Lum,"$369,129","$369,129",-,2011
6330,Jig,"$363,320","$183,790","$179,530",2011
6331,Love in Space,"$358,486","$34,787","$323,699",2011
6332,Las Acacias,"$354,391","$6,000","$348,391",2011
6333,El Bulli: Cooking in Progress,"$343,116","$237,181","$105,935",2011
6334,Ladies vs. Ricky Bahl,"$328,870",-,"$328,870",2011
6335,The Day He Arrives,"$322,348","$13,746","$308,602",2011
6336,5 Days of War,"$316,944","$17,479","$299,465",2011
6337,Corpo Celeste 2011 Re-release,"$316,504","$8,919","$307,585",2011
6338,Being Elmo: A Puppeteer's Journey,"$310,812","$304,052","$6,760",2011
6339,Khodorkovsky,"$294,599","$39,522","$255,077",2011
6340,Dreams of a Life,"$291,898","$8,405","$283,493",2011
6341,The Interrupters,"$286,457","$282,448","$4,009",2011
6342,The Black Power Mixtape 1967-1975,"$280,025","$273,749","$6,276",2011
6343,Conan O'Brien Can't Stop,"$267,965","$267,965",-,2011
6344,Munger Road,"$266,689","$266,689",-,2011
6345,Phil Ochs: There But for Fortune,"$263,723","$263,723",-,2011
6346,The Music Never Stopped,"$258,223","$258,223",-,2011
6347,My Perestroika,"$242,707","$242,707",-,2011
6348,"Life, Above All","$230,529","$134,461","$96,068",2011
6349,Wrecked,"$229,532","$8,020","$221,512",2011
6350,The Afflicted,"$212,940","$212,940",-,2011
6351,"Filth to Ashes, Flesh to Dust","$202,531","$202,531",-,2011
6352,October Baby,"$199,442","$199,442",-,2011
6353,Whores' Glory,"$197,932","$31,420","$166,512",2011
6354,Chalo Dilli,"$191,185","$94,300","$96,885",2011
6355,Amigo,"$184,705","$184,705",-,2011
6356,"The Man Nobody Knew: In Search of My Father, CIA Spymaster William Colby","$183,342","$183,342",-,2011
6357,Go for It!,"$180,237","$180,237",-,2011
6358,Cirkus Columbia,"$173,083","$3,457","$169,626",2011
6359,Bellflower,"$172,935","$168,226","$4,709",2011
6360,The Human Centipede II (Full Sequence),"$170,323","$141,877","$28,446",2011
6361,Viva Riva!,"$168,982","$61,759","$107,223",2011
6362,The Turin Horse,"$162,088","$56,391","$105,697",2011
6363,Road to Nowhere,"$161,619","$40,294","$121,325",2011
6364,Eames: The Architect & The Painter,"$159,715","$153,088","$6,627",2011
6365,Chasing Madoff,"$157,612","$157,612",-,2011
6366,Magic Trip: Ken Kesey's Search for a Kool Place,"$155,005","$154,521",$484,2011
6367,Revenge of the Electric Car,"$151,272","$150,886",$386,2011
6368,Nobody Else But You,"$150,173","$43,040","$107,133",2011
6369,Gun Hill Road,"$148,994","$148,994",-,2011
6370,Cold Weather,"$144,056","$141,358","$2,698",2011
6371,Thunder Soul,"$143,986","$143,986",-,2011
6372,Dirty Girl,"$143,485","$55,125","$88,360",2011
6373,Metropolis Giorgio Moroder Presents,"$140,907","$27,362","$113,545",2011
6374,Beautiful Boy,"$140,123","$77,247","$62,876",2011
6375,I Will Follow,"$135,809","$135,809",-,2011
6376,Tonight You're Mine,"$132,787","$6,255","$126,532",2011
6377,The Fairy,"$129,818","$38,399","$91,419",2011
6378,Steve Jobs: The Lost Interview,"$127,541","$105,710","$21,831",2011
6379,Vidal Sassoon: The Movie,"$124,532","$85,974","$38,558",2011
6380,Puncture,"$123,700","$68,945","$54,755",2011
6381,Sigur Rós: Inni,"$123,482","$123,482",-,2011
6382,The Last Mountain,"$122,961","$122,961",-,2011
6383,Michael,"$121,034","$15,715","$105,319",2011
6384,Blank City,"$119,929","$116,037","$3,892",2011
6385,The Decoy Bride,"$117,754",$759,"$116,995",2011
6386,The Undefeated,"$116,381","$116,381",-,2011
6387,Headshot,"$115,511","$1,373","$114,138",2011
6388,35 and Ticking,"$113,794","$113,794",-,2011
6389,In the Family,"$101,934","$101,934",-,2011
6390,Rubber,"$101,729","$100,370","$1,359",2011
6391,The Man Who Fell to Earth,"$100,468","$100,072",$396,2011
6392,Rejoice and Shout,"$100,237","$100,237",-,2011
6393,A Little Help,"$96,868","$96,868",-,2011
6394,My Reincarnation,"$96,115","$92,822","$3,293",2011
6395,American: The Bill Hicks Story,"$92,234","$92,234",-,2011
6396,Evil Bong 3: The Wrath of Bong,"$91,260","$91,260",-,2011
